,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Garbage Disposal,Gym,Internet Access,Parking,Patio/Deck,Pool,Refrigerator,Storage,bathrooms_bedrooms_avg,price_category
6427,1,2275,970,Bradenton,FL,27.5068,-82.644,RentDigs.com,0,1,0,0,0,0,0,0,0,1,0,0,2.0,Alto
2807,0,3087,667,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,1.0,Alto
1425,1,900,551,Rochester,MN,44.0346,-92.468,RentLingo,1,1,1,0,1,0,0,1,1,0,1,0,1.5,Bajo
7149,1,1945,1089,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
1871,0,995,600,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
480,1,695,410,Stratford,NJ,39.8296,-75.0152,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Bajo
8867,1,1649,1842,Clayton,NC,35.6101,-78.4715,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Alto
5647,1,1010,875,Randallstown,MD,39.3754,-76.8054,RentDigs.com,1,0,1,0,0,1,0,0,1,0,1,0,1.5,Bajo
527,1,685,422,Philadelphia,PA,40.0054,-75.1415,RentLingo,1,0,0,0,0,0,0,1,0,0,1,0,1.5,Bajo
722,1,840,465,Cincinnati,OH,39.1679,-84.4933,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
4454,0,2564,774,Pasadena,CA,34.1474,-118.1391,RentDigs.com,0,0,0,0,0,0,0,1,1,1,0,0,1.0,Alto
3570,1,1155,712,Santa Fe,NM,35.6643,-105.9701,RentLingo,1,1,1,1,0,0,1,1,1,1,1,1,1.0,Medio
220,1,1094,306,Reno,NV,39.5197,-119.8342,RentLingo,1,0,0,0,1,0,1,1,1,0,1,0,1.0,Medio
8477,1,975,1473,Neenah,WI,44.1812,-88.4881,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,2.5,Bajo
3837,0,1108,730,New London,CT,41.3498,-72.1062,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,1,1.5,Medio
8388,1,2870,1415,Hanover,MD,39.1649,-76.7156,Other,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
8660,0,3695,1600,Los Angeles,CA,34.0372,-118.2972,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Alto
4209,1,2607,751,Marina Del Rey,CA,33.9855,-118.4532,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,1.0,Alto
6424,1,984,968,Brown Deer,WI,43.1403,-87.9675,RentLingo,0,0,0,0,0,0,0,1,1,0,0,1,1.5,Bajo
6478,0,2315,976,Ellicott City,MD,39.266,-76.8455,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,1,2.0,Alto
7573,1,2300,1155,San Diego,CA,32.7876,-117.1265,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
2992,0,860,678,Urbana,IL,40.1171,-88.1889,RentLingo,0,0,1,0,0,0,0,0,1,0,0,0,1.5,Bajo
6039,1,725,916,Saginaw,MI,43.4251,-83.9731,RentLingo,0,1,1,0,1,0,0,1,1,1,1,1,1.5,Bajo
5944,1,565,900,Weslaco,TX,26.1596,-97.989,RentLingo,1,1,1,0,1,0,1,1,1,1,1,0,2.0,Bajo
5606,1,1723,871,Issaquah,WA,47.5481,-122.0471,RentLingo,1,1,1,0,1,0,1,1,1,1,1,1,1.0,Alto
2391,0,811,642,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,1,0,0,0,0,0,0,0,0,0,1.0,Bajo
3244,0,1259,698,Oklahoma City,OK,35.4751,-97.5035,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,0,1.0,Medio
7178,1,1225,1096,Renton,WA,47.4608,-122.2095,RentDigs.com,0,1,0,1,0,1,0,0,1,0,0,0,2.0,Medio
1983,1,675,605,Grandview,MO,38.8842,-94.5213,RentLingo,0,0,1,0,0,0,0,1,1,0,1,0,1.0,Bajo
7021,0,1195,1061,Renton,WA,47.5126,-122.1934,RentDigs.com,0,0,0,1,0,0,0,1,0,0,0,0,2.0,Medio
1554,1,3995,570,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,1,0,0,0,0,0,1,0,1,0,1.0,Alto
9143,1,4750,2605,Orinda,CA,37.8808,-122.1757,RentLingo,0,0,0,0,0,0,0,0,0,0,1,0,3.5,Alto
8506,1,1995,1498,Verona,WI,42.9908,-89.5684,RentLingo,0,0,1,1,1,0,0,1,1,0,1,1,2.0,Alto
6395,0,1669,964,Milford,NH,42.829,-71.658,RentDigs.com,0,0,1,0,0,0,0,0,0,0,0,1,2.0,Alto
6823,1,1149,1026,Houston,TX,29.7714,-95.4343,RentLingo,0,0,1,1,1,0,0,0,0,0,0,0,1.5,Medio
9103,1,2737,2425,Orlando,FL,28.5163,-81.3644,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,3.5,Alto
1677,1,1073,581,Kansas City,MO,39.0744,-94.5521,RentLingo,0,0,1,0,0,0,0,1,0,0,0,1,1.0,Medio
4050,0,1849,748,Gaithersburg,MD,39.1088,-77.2384,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,1,1.0,Alto
8683,1,1049,1609,Houston,TX,29.7714,-95.4343,RentLingo,0,0,1,1,1,0,0,0,0,0,1,0,2.0,Medio
901,0,1595,500,Brea,CA,33.9299,-117.8849,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Alto
8367,0,2950,1403,Boston,MA,42.328,-71.071,RentDigs.com,0,0,0,0,0,1,0,1,1,0,0,1,1.0,Alto
2296,1,1380,633,Dallas,TX,32.8212,-96.7853,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
8924,1,1850,1920,Huntersville,NC,35.414,-80.8526,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Alto
296,1,1400,355,Los Angeles,CA,34.0372,-118.2972,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Medio
8032,1,1895,1271,Nixa,MO,37.0488,-93.2933,RentLingo,1,0,1,0,0,0,1,1,1,0,1,0,2.0,Alto
57,0,1115,250,San Pablo,CA,37.9724,-122.3304,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
6120,1,1100,930,Columbus,OH,39.9974,-82.9829,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Medio
6334,1,650,955,Conway,AR,35.0673,-92.3808,RentLingo,1,0,1,0,1,0,1,1,0,0,1,0,2.0,Bajo
7351,1,1299,1117,Kannapolis,NC,35.4851,-80.6145,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,2.5,Medio
8687,1,1462,1611,Cary,NC,35.7589,-78.778,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Medio
2676,0,1695,658,Bothell,WA,47.7974,-122.2037,RentLingo,1,0,1,0,0,0,0,0,1,0,1,0,1.0,Alto
4313,1,739,759,Bloomington,IN,39.1471,-86.5136,RentLingo,1,0,1,0,1,0,1,1,1,1,1,1,1.0,Bajo
5662,0,977,876,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,1,0,0,0,0,0,0,0,0,0,1.0,Bajo
7381,1,1649,1121,Lynnwood,WA,47.8318,-122.2834,RentLingo,1,0,1,0,1,0,1,1,1,1,1,0,2.5,Alto
6475,0,425,975,Port Arthur,TX,29.9142,-93.9383,RentLingo,1,0,0,0,0,0,1,1,0,0,1,0,1.0,Bajo
295,1,675,354,Lees Summit,MO,38.9163,-94.3719,RentLingo,1,0,0,0,1,0,0,1,1,1,1,0,1.0,Bajo
2580,0,785,650,Monroeville,PA,40.4261,-79.7631,RentDigs.com,0,0,0,0,0,0,0,0,1,1,0,1,1.0,Bajo
8610,0,1700,1556,Saint Louis,MO,38.6274,-90.304,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Alto
4706,1,795,792,Lafayette,IN,40.3613,-86.9005,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
648,0,1000,450,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Bajo
1370,0,995,550,Denver,CO,39.736,-104.9819,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
9102,1,3095,2420,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
5910,1,850,900,Delaware,OH,40.2854,-83.0595,Other,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
8770,1,1425,1704,Monroe,NC,34.9827,-80.5464,RentLingo,0,0,1,1,0,0,0,0,1,0,1,0,2.5,Medio
5885,0,1195,900,Saint Louis,MO,38.6274,-90.304,RentLingo,0,0,1,0,0,0,0,0,0,0,0,0,1.5,Medio
3855,1,1305,731,Houston,TX,29.7714,-95.4343,RentLingo,1,1,1,0,1,0,0,1,1,1,1,1,1.0,Medio
3070,0,939,684,Arlington,TX,32.6548,-97.1587,RentDigs.com,0,0,0,0,0,1,0,1,0,1,0,0,1.0,Bajo
681,0,1722,453,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
434,0,829,400,Baltimore,MD,39.3284,-76.6021,RentDigs.com,1,0,0,0,0,0,0,1,0,0,1,0,0.5,Bajo
4734,1,1463,796,Denver,CO,39.8502,-104.9699,RentDigs.com,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Medio
7699,1,1695,1189,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,0,0,0,0,1,0,0,0,0,1.5,Alto
1489,1,1610,561,Lakewood,CA,33.8505,-118.1466,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
812,0,890,484,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
1882,0,895,600,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,0,0,0,1,0,0,1,1,0,0,1.0,Bajo
8880,1,1600,1866,Saint George,UT,37.0835,-113.5823,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
8639,1,1299,1582,Houston,TX,29.7714,-95.4343,RentLingo,0,0,1,1,1,0,0,0,0,0,0,0,2.5,Medio
6792,1,799,1020,West Lafayette,IN,40.4969,-86.9659,RentLingo,0,0,1,0,0,0,0,1,1,0,1,0,2.0,Bajo
1940,1,580,600,Houston,TX,29.7714,-95.4343,RentLingo,1,0,1,0,1,0,1,1,0,1,1,0,1.0,Bajo
3322,0,1145,700,Hemet,CA,33.6895,-116.9659,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
3666,1,1795,720,Concord,CA,37.9682,-122.0091,RentLingo,1,0,1,0,1,0,0,1,1,1,1,0,1.0,Alto
1612,0,750,575,Windsor,VT,43.475,-72.4274,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
1181,1,559,527,Oklahoma City,OK,35.4595,-97.3973,RentDigs.com,0,1,1,0,0,0,1,0,1,1,1,0,1.0,Bajo
1375,1,955,550,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,0,0,0,0,1,0,0,0,1,1.0,Bajo
7258,0,1010,1100,Charlotte,NC,35.2016,-80.8124,RentLingo,0,0,1,0,0,0,0,1,1,1,1,0,2.0,Bajo
5361,0,2570,850,Los Angeles,CA,34.0372,-118.2972,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
626,1,1950,450,Baltimore,MD,39.3191,-76.6126,RentLingo,1,0,0,0,0,0,1,1,0,0,1,0,1.0,Alto
3601,1,990,715,Mesa,AZ,33.4146,-111.766,RentLingo,0,0,1,0,0,0,0,1,0,1,1,0,1.0,Bajo
1669,1,750,580,Wichita,KS,37.6836,-97.3369,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Bajo
2112,0,1105,620,Hampton,NH,42.9338,-70.8233,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
7193,1,1320,1099,Winchester,VA,39.179,-78.1591,RentLingo,0,0,1,0,0,0,0,0,1,1,0,0,2.0,Medio
2885,0,1045,672,Arlington,TX,32.6548,-97.1587,RentDigs.com,0,0,0,0,0,1,1,0,0,0,0,0,1.0,Medio
5528,0,825,860,Carrollton,GA,33.5834,-85.0844,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
5737,0,795,888,Fargo,ND,46.8608,-96.8096,RentLingo,1,0,1,0,0,0,1,0,0,0,1,0,1.5,Bajo
84,0,900,250,Laurel,MD,39.0976,-76.8614,RentLingo,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Bajo
5904,1,924,900,Burlington,NC,36.0334,-79.4909,RentDigs.com,0,1,0,0,0,1,0,0,0,1,0,0,1.5,Bajo
6273,0,1150,950,Ferndale,MI,42.4583,-83.138,RentLingo,0,0,0,0,0,0,1,1,0,0,1,0,1.5,Medio
2283,1,1649,631,Chicago,IL,41.8625,-87.6825,RentLingo,0,0,0,0,0,0,0,1,1,0,0,1,1.0,Alto
2887,1,940,672,Reno,NV,39.5197,-119.8342,RentLingo,1,0,1,1,0,0,0,1,1,0,1,1,1.0,Bajo
3185,0,1595,693,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
7337,0,1204,1113,Knightdale,NC,35.7863,-78.4845,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,0,2.0,Medio
418,0,900,400,Manassas,VA,38.7418,-77.4684,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
4411,1,1750,770,Elizabeth,NJ,40.6623,-74.2087,RentDigs.com,1,0,1,0,0,0,0,0,1,0,0,0,1.0,Alto
3127,1,1670,689,Seattle,WA,47.616,-122.3275,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
2709,1,1299,660,Thornton,CO,39.8895,-104.9641,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
2357,1,1075,640,Pittsburgh,PA,40.4448,-79.9725,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
6382,0,950,962,Washington Terrace,UT,41.1809,-111.9704,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
1366,1,1100,550,Reno,NV,39.5197,-119.8342,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
293,0,1246,352,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Medio
7332,0,2875,1113,Florham Park,NJ,40.7766,-74.3914,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,2.0,Alto
8735,1,1700,1671,Baton Rouge,LA,30.4415,-91.1012,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Alto
1506,1,880,562,Kansas City,MO,39.0744,-94.5521,RentLingo,0,0,1,0,0,0,0,0,1,0,0,1,1.0,Bajo
8337,1,2695,1400,Larchmont,NY,40.936,-73.7568,RentLingo,1,0,1,0,0,0,0,0,0,0,1,0,2.0,Alto
8590,0,3325,1541,Cleveland,OH,41.5073,-81.6046,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,1,2.0,Alto
1634,1,1175,577,Vancouver,WA,45.6558,-122.5888,RentLingo,1,1,1,1,1,0,0,1,1,1,1,1,1.0,Medio
4981,0,820,808,Raytown,MO,39.022,-94.4645,Other,0,0,0,0,0,0,0,0,0,0,1,0,1.5,Bajo
4693,1,780,791,Oklahoma City,OK,35.471,-97.5299,RentLingo,0,0,0,0,0,0,0,1,0,1,0,0,1.0,Bajo
3107,0,949,687,Salt Lake City,UT,40.7061,-111.9048,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
7720,1,642,1193,Muncie,IN,40.2057,-85.4,RentLingo,0,0,1,0,0,0,0,1,0,0,0,1,1.5,Bajo
1563,0,1020,570,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.0,Medio
8188,0,2695,1320,Dublin,CA,37.7147,-121.93,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
4230,0,1380,752,Winter Garden,FL,28.5335,-81.5918,RentDigs.com,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Medio
1979,1,1449,605,Portland,OR,45.5091,-122.6449,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
1883,0,880,600,Lawrence,KS,38.9571,-95.2657,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
438,0,720,400,Forest Lake,MN,45.2764,-92.9901,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Bajo
3742,0,940,723,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,1,0,0,0,0,0,0,0,0,0,1.0,Bajo
4755,1,825,797,Baton Rouge,LA,30.4415,-91.1012,RentLingo,1,1,1,0,1,0,1,1,0,1,1,0,1.0,Bajo
6664,1,995,1000,Columbia,SC,34.0505,-81.0098,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
6630,1,1500,1000,Cincinnati,OH,39.1679,-84.4933,RentLingo,0,0,1,0,1,0,0,1,1,0,1,0,1.5,Alto
7935,0,2365,1239,Tewksbury,MA,42.6008,-71.2226,Other,0,1,0,0,0,1,0,0,0,1,0,1,2.0,Alto
2280,0,2460,631,Pasadena,CA,34.1659,-118.1629,RentDigs.com,0,0,0,0,0,1,0,0,0,1,0,0,1.0,Alto
3710,0,1995,721,Sammamish,WA,47.6302,-122.0537,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Alto
8750,1,1350,1690,Fort Smith,AR,35.358,-94.3964,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,2.5,Medio
7040,0,877,1065,Greensboro,NC,36.0646,-79.8238,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Bajo
373,0,1625,400,Auburn,WA,47.3002,-122.2168,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
4404,1,4500,769,San Francisco,CA,37.7599,-122.4379,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
8511,1,825,1499,Gouverneur,NY,44.3024,-75.4157,RentDigs.com,1,1,1,0,0,0,1,1,1,0,0,1,2.5,Bajo
2585,0,675,650,Dallas,TX,32.6857,-96.6013,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,0,1.0,Bajo
1332,0,999,547,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.0,Bajo
5632,1,1289,875,Milford,NH,42.829,-71.658,RentDigs.com,0,0,0,0,0,0,0,1,1,1,0,1,1.5,Medio
9162,1,1475,2800,Loganville,GA,33.81,-83.8894,RentLingo,0,0,1,1,0,0,0,0,1,0,1,0,2.5,Medio
3541,0,676,709,Dubuque,IA,42.5326,-90.6985,RentLingo,0,0,1,0,0,0,1,1,0,0,1,1,1.0,Bajo
1784,0,1210,597,Austin,TX,30.3054,-97.7497,RentLingo,0,1,0,0,0,1,0,0,0,1,0,1,2.0,Medio
5562,1,1200,865,San Antonio,TX,29.4624,-98.5253,RentLingo,0,0,1,0,0,0,1,1,0,1,1,0,1.0,Medio
8030,1,1450,1270,Raleigh,NC,35.823,-78.6438,RentLingo,0,0,1,0,0,0,0,0,0,0,1,0,2.5,Medio
7635,0,1285,1175,Absecon,NJ,39.4432,-74.5117,RentDigs.com,0,0,0,0,0,0,0,1,0,1,0,0,2.0,Medio
6214,0,964,942,Colorado Springs,CO,38.8021,-104.7105,RentDigs.com,1,0,0,0,0,0,1,0,0,1,0,0,2.0,Bajo
3589,0,899,714,Colorado Springs,CO,38.7918,-104.8265,RentDigs.com,0,0,0,1,0,0,0,1,0,1,0,1,1.0,Bajo
2860,1,615,670,Omaha,NE,41.2562,-96.0404,RentLingo,1,0,1,1,0,0,1,1,1,1,1,0,1.0,Bajo
5653,0,732,875,Battle Creek,MI,42.3149,-85.1757,RentLingo,0,0,0,0,0,0,0,0,1,0,0,0,2.5,Bajo
5292,0,1476,841,Elkridge,MD,39.2031,-76.7531,RentDigs.com,1,0,0,1,0,0,0,0,1,1,0,0,2.0,Alto
2897,1,1546,673,Arlington,VA,38.8571,-77.0609,Other,0,0,0,0,0,0,0,0,0,0,0,0,0.5,Alto
366,0,1005,398,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,1,0,0,0,1.5,Bajo
9173,0,4300,2906,San Ramon,CA,37.7547,-121.9529,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Alto
4375,1,925,765,Houston,TX,29.8224,-95.5405,RentLingo,0,0,0,0,0,0,0,0,1,0,0,0,1.0,Bajo
4541,1,1190,780,Everett,WA,47.9338,-122.2052,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
3205,0,1105,695,Kyle,TX,30.0066,-97.8071,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
2653,1,1089,655,Suwanee,GA,34.0648,-84.0849,RentLingo,0,0,1,0,0,0,0,1,1,1,1,0,1.0,Medio
7692,1,1675,1187,Manassas,VA,38.7418,-77.4684,Other,0,0,0,0,0,0,0,1,0,1,0,0,2.0,Alto
5551,0,1724,864,Kent,WA,47.3907,-122.2626,RentDigs.com,0,0,0,0,0,0,0,0,0,0,0,0,1.5,Alto
1541,1,1953,568,Arlington,VA,38.8738,-77.1055,RentLingo,0,0,0,0,0,0,0,1,0,0,0,0,1.5,Alto
3016,0,1045,680,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
322,0,940,375,Austin,TX,30.3054,-97.7497,RentLingo,0,0,1,0,0,0,0,1,0,1,0,0,1.5,Bajo
2031,0,551,611,Pittsburgh,PA,40.4448,-79.9725,RentLingo,0,0,0,0,0,0,0,1,0,0,1,0,1.0,Bajo
993,0,841,503,Austin,TX,30.3054,-97.7497,RentLingo,0,0,0,1,0,1,0,0,1,1,0,1,1.0,Bajo
3898,1,1294,735,Alexandria,VA,38.7999,-77.1072,RentLingo,0,0,1,0,0,0,0,0,0,1,1,0,1.5,Medio
7969,0,2375,1250,Neptune City,NJ,40.2091,-74.0584,RentDigs.com,0,1,1,0,0,1,0,0,0,1,0,0,2.5,Alto
6392,0,1825,964,Maple Valley,WA,47.3949,-122.0287,RentDigs.com,1,1,1,0,0,1,1,0,1,1,1,0,2.0,Alto
8721,1,2550,1651,Madison,WI,43.0724,-89.4003,RentLingo,0,0,0,1,0,0,0,1,0,0,0,0,3.5,Alto
6545,1,1300,990,Manchester,NH,42.9833,-71.4574,RentDigs.com,0,1,0,0,0,1,1,0,0,0,0,0,1.5,Medio
6670,0,930,1000,Dayton,OH,39.6379,-84.1686,RentDigs.com,0,0,0,1,0,1,0,1,0,1,0,0,2.0,Bajo
2184,1,1430,625,Miami,FL,25.7603,-80.3005,RentLingo,0,0,0,0,0,0,0,0,0,1,0,0,1.0,Medio
110,0,800,250,Jacksonville,FL,30.2989,-81.6324,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
4248,1,800,753,Neenah,WI,44.1812,-88.4881,RentLingo,0,0,1,0,0,0,0,0,1,0,1,0,1.0,Bajo
5696,1,1500,882,Mequon,WI,43.2286,-87.9668,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Alto
1079,0,1130,516,Austin,TX,30.3054,-97.7497,RentLingo,0,1,0,0,0,1,0,0,0,1,0,0,1.0,Medio
2226,0,1376,628,Elmwood Park,NJ,40.9047,-74.1194,RentDigs.com,0,0,0,0,0,0,0,1,0,0,0,0,1.0,Medio
3165,1,1185,692,Milwaukee,WI,43.0531,-87.9659,RentLingo,1,1,1,0,1,0,1,1,0,0,1,1,1.0,Medio
8431,1,1599,1445,Mansfield,TX,32.5807,-97.138,RentLingo,0,0,1,1,0,0,0,0,0,0,1,0,2.5,Alto
2705,1,1395,660,Boulder,CO,40.0213,-105.2552,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Medio
5764,0,972,892,Round Rock,TX,30.5118,-97.6873,RentLingo,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Bajo
3132,1,925,689,Tallahassee,FL,30.4601,-84.2714,RentLingo,1,0,1,0,1,0,0,1,1,1,1,0,1.0,Bajo
1164,1,750,525,Saint Louis,MO,38.6274,-90.304,RentLingo,0,0,1,0,0,0,0,1,1,0,1,0,1.0,Bajo
